"","StockName","AssetCategory","AssetClass","OpeningMarketValue","Weight","Units","UnitPrice","HoldingsDate","Creations","Redemptions","BenchmarkWeight","WeightedBenchmarkReturn","ActiveWeight","ActiveReturn","AllocationEffect","SelectionEffect","InteractionEffect","ActiveManagementEffect","PresentInPortfolio","BenchmarkName","WeightedPerformance","BenchmarkReturn","ActualPerformance","ClosingMarketValue","weightCalc"
"88","British-American Investments Ord 0.10","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0.01,7.99947e-06,-1,-0.727,-0.001,-0.008,-0.718,-0.009,0,"Nairobi All Share Index",0,0.000799947,-0.007263923,0,0
"89","Home Africa Ltd Ord1.00","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,-6.452,0,0,-6.452,0,0,"Nairobi All Share Index",0,0.000799947,-0.064516129,0,0
"90","A.Baumann Co. Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"91","Jubilee Holdings Ltd Ord 5.00","Listed Equity","EQUITIES",953606.35,0.05666747,953606.35,1,"7/2/2019",0,0,0.04,0.003,1.667,-0.003,0.001,-0.003,-0.001,-0.002,1,"Nairobi All Share Index",0,0.000799947,0,953606.35,0.000624166117088138
"92","Scangroup Ltd Ord 1.00","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,-2.137,0,0,-2.137,0,0,"Nairobi All Share Index",0,0.000799947,-0.021367521,0,0
"93","Kakuzi Ord.5.00","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"94","Rea Vipingo Plantations Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"95","Anglo African Property","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"96","E.A.Portland Cement Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"97","KPLC Rights","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"98","E.A.Cables Ltd Ord 0.50","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0.402,0,0,0.402,0,0,"Nairobi All Share Index",0,0.000799947,0.004016064,0,0
"99","Family Bank Limited","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"100","Uchumi Supermarket Ltd Ord 5.00","Listed Equity","EQUITIES",10557,0.000627343,10557,0.980392157,"7/2/2019",0,0,0,0,0.063,-1.961,0,0,-1.961,0,1,"Nairobi All Share Index",-1.23008e-05,0.000799947,-0.019607843,10350,6.77440886573609e-06
"101","Kengen Bond","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"102","CIC Insurance Group Ltd Ord.1.00","Listed Equity","EQUITIES",146727,0.008719162,146727,0.988795518,"7/2/2019",0,0,0.03,0.002,-2.128,-1.123,-0.002,-0.036,-1.085,-0.038,1,"Nairobi All Share Index",-9.76937e-05,0.000799947,-0.011204482,145083,9.49615035234386e-05
"103","NCBA Group Plc Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0.03,2.39984e-05,-3,-1.307,-0.002,-0.042,-1.264,-0.044,0,"Nairobi All Share Index",0,0.000799947,-0.013050571,0,0
"104","Flame Tree Group Holdings Ltd Ord 0.825","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"105","Equity Bank Ltd Ord 0.50","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0.05,3.99973e-05,-5,0.506,-0.004,0.022,0.489,0.018,0,"Nairobi All Share Index",0,0.000799947,0.005102041,0,0
"106","Kenya Orchards Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"107","Standard Chartered Bank  Ltd Rights","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"108","KenGen Ltd Ord. 2.50","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0.01,7.99947e-06,-1,1.351,-0.001,0.013,1.339,0.012,0,"Nairobi All Share Index",0,0.000799947,0.013513514,0,0
"109","Atlas Development & Support Services Ltd","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"110","KQ Rights","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"111","Kenya Power Lighting Co Ltd Ord 20.00","Listed Equity","EQUITIES",64321.15,0.003822245,64321.15,1.005141388,"7/2/2019",0,0,0.01,0.001,-0.618,0.513,0,0.004,0.509,0.004,1,"Nairobi All Share Index",1.96516e-05,0.000799947,0.005141388,64651.85,4.23167213358686e-05
"112","City Trust Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"113","Kenya Airways Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,2.519,0,0,2.519,0,0,"Nairobi All Share Index",0,0.000799947,0.025188917,0,0
"114","Co-operative Bank of Kenya Ltd Ord 1.00","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0.05,3.99973e-05,-5,-0.422,-0.004,-0.025,-0.393,-0.029,0,"Nairobi All Share Index",0,0.000799947,-0.0041841,0,0
"115","NIC Rights Issue","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"116","Shell Bond","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"117","Nation Media Group Ord. 2.50","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,-0.407,0,0,-0.407,0,0,"Nairobi All Share Index",0,0.000799947,-0.004065041,0,0
"118","Access Kenya Group Ltd Ord. 1.00","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"119","Hutchings Biemer Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.000799947,0,0,0
"120","East African Breweries Ltd Ord 2.00","Listed Equity","Equities",0,0,0,0,"7/2/2019",0,0,0.1,7.99947e-05,-10,-0.133,-0.008,-0.021,-0.105,-0.029,0,"Nairobi All Share Index",0,0.000799947,-0.001254705,0,0
